Idusuario,Deslogin,Dessenha,Dtcadastro
109,Usuario437,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:11:05.493
177,Usuario444,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:16:25.097
65,Usuario445,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:13:46.107
202,Usuario458,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:10:06.260
166,Usuario461,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:15:14.480
42,Usuario467,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:58:24.547
197,Usuario469,123456                                                                                                                                                                                                                                                          ,2020-05-09 21:57:53.700
97,Usuario479,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:09:22.823
167,Usuario484,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:15:34.610
40,Usuario492,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:56:43.417
168,Usuario494,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:15:50.317
195,Usuario496,123456                                                                                                                                                                                                                                                          ,2020-05-09 21:55:00.300
127,Usuario51,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:12:05.153
53,Usuario517,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:04:31.173
182,Usuario533,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:17:18.540
174,Usuario539,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:16:08.390
209,Usuario540,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:15:50.743
47,Usuario542,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:59:46.007
108,Usuario543,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:11:05.297
50,Usuario555,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:01:00.580
66,Usuario556,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:13:55.400
28,Usuario566,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:55:18.860
59,Usuario57,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:08:36.233
49,Usuario583,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:00:53.340
111,Usuario586,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:11:05.900
38,Usuario592,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:56:13.473
30,Usuario619,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:55:20.160
37,Usuario636,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:56:07.213
103,Usuario638,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:09:24.873
35,Usuario643,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:55:39.573
180,Usuario652,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:17:17.890
211,Usuario667,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:15:51.140
52,Usuario670,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:01:41.257
144,Usuario672,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:14:12.627
51,Usuario678,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:01:15.280
142,Usuario680,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:14:11.990
56,Usuario682,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:05:54.840
170,Usuario684,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:15:51.080
67,Usuario690,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:14:10.520
200,Usuario693,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:03:21.427
63,Usuario694,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:12:20.590
57,Usuario708,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:06:32.530
169,Usuario708,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:15:50.780
110,Usuario712,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:11:05.697
123,Usuario726,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:12:04.307
19,Usuario738,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:52:58.980
68,Usuario741,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:14:50.087
102,Usuario752,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:09:24.600
34,Usuario764,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:55:21.000
130,Usuario771,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:12:05.780
126,Usuario777,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:12:04.937
79,Usuario779,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:36:55.807
164,Usuario78,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:15:14.023
31,Usuario780,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:55:20.357
48,Usuario795,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:00:32.343
208,Usuario795,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:15:50.520
121,Usuario801,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:12:00.970
70,Usuario802,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:15:13.063
145,Usuario810,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:14:13.030
193,Usuario810,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:18:22.190
60,Usuario837,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:08:37.697
196,Usuario839,123456                                                                                                                                                                                                                                                          ,2020-05-09 21:57:30.370
81,Usuario843,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:49:33.020
192,Usuario846,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:18:21.930
95,Usuario862,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:09:21.900
74,Usuario864,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:27:41.913
165,Usuario868,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:15:14.283
176,Usuario895,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:16:24.623
36,Usuario90,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:55:51.920
101,Usuario911,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:09:24.343
107,Usuario912,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:11:04.577
75,Usuario916,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:27:45.960
104,Usuario921,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:09:25.143
72,Usuario931,123456                                                                                                                                                                                                                                                          ,2020-05-09 18:26:02.110
18,Usuario939,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:52:42.520
191,Usuario939,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:18:21.497
162,Usuario943,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:15:13.610
206,Usuario945,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:15:50.050
41,Usuario949,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:57:55.217
199,Usuario965,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:03:19.393
213,Usuario972,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:15:51.617
133,Usuario972,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:12:28.700
154,Usuario973,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:14:37.910
207,Usuario980,123456                                                                                                                                                                                                                                                          ,2020-05-09 22:15:50.300
183,Usuario993,123456                                                                                                                                                                                                                                                          ,2020-05-09 19:17:18.747
32,Usuario996,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:55:20.547
39,Usuario999,123456                                                                                                                                                                                                                                                          ,2020-05-09 17:56:35.277
